month,order_date,identifier,order_num,sub_order_num,quantity,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,end_customer_state,end_customer_pin,gstin,hsn_code,gst_amount,gst_rate,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-14,8icvx,165632731681,165632731681_1,1,Delivered,2023-06-14,AFLOAT,Gujarat,383315,Maharashtra,442401,Maharashtra,442401,24ABVFA4063H1ZA,500720,14.30000000000000,5.00,300,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,300,285.7142857142857,MAHARASHTRA,2023,6,188451
2023-06-01,2023-06-09,8icvx,316365559326,316365559326_1,1,Delivered,2023-06-09,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,635113,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,299,284.7619047619048,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-12,8icvx,390358740853,390358740853_1,1,Delivered,2023-06-12,AFLOAT,Gujarat,383315,Andhra Pradesh,516108,Andhra Pradesh,516105,24ABVFA4063H1ZA,540710,15.10000000000000,5.00,317,0.000000000000000000,0.00000000000000,99,0,1.050000,94.2857142857143,16.971428571428568,317,301.9047619047619,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-02,8icvx,748707584931,748707584931_1,1,Delivered,2023-06-02,AFLOAT,Gujarat,383315,Andhra Pradesh,516289,Andhra Pradesh,516289,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,297,282.8571428571428,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-06,8icvx,772320114080,772320114080_1,1,rto,2023-06-06,AFLOAT,Gujarat,383315,Madhya Pradesh,485226,Madhya Pradesh,485112,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,MADHYA PRADESH,2023,6,188451
2023-06-01,2023-06-13,8icvx,515362793471,515362793471_1,1,Delivered,2023-06-13,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,516193,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-09,8icvx,843455229982,843455229982_1,1,Delivered,2023-06-10,AFLOAT,Gujarat,383315,Gujarat,null,Gujarat,383245,24ABVFA4063H1ZA,500720,14.30000000000000,5.00,300,0.000000000000000000,0.00000000000000,64,0,1.050000,52.3809523809524,9.428571428571429,291,277.1428571428571,GUJARAT,2023,6,188451
2023-06-01,2023-06-21,8icvx,484571308392,484571308392_1,1,Delivered,2023-06-21,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,605602,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,65,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-07,8icvx,918184930020,918184930020_1,1,Delivered,2023-06-07,AFLOAT,Gujarat,383315,Chhattisgarh,null,Chhattisgarh,496445,24ABVFA4063H1ZA,540710,13.68000000000000,5.00,287,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,287,273.3333333333333,CHHATTISGARH,2023,6,188451
2023-06-01,2023-06-27,8icvx,839232709282,839232709282_1,1,Return,2023-06-27,AFLOAT,Gujarat,383315,Telangana,507120,Telangana,507166,24ABVFA4063H1ZA,500720,14.00000000000000,5.00,294,0.000000000000000000,0.00000000000000,90,0,1.050000,85.7142857142857,15.428571428571427,294,280.0000000000000,TELANGANA,2023,6,188451
