month,order_date,identifier,order_num,sub_order_num,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,gstin,hsn_code,gst_amount,gst_rate,end_customer_pin,end_customer_state,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,quantity,penalty,cancel_return_date,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-10,8icvx,836444043718,836444043718_1,rto,2023-06-10,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,15.38000000000000,5.00,534003,Andhra Pradesh,323,0.000000000000000000,0.00000000000000,106,0,1,0.0,2023-06-19,1.050000,100.9523809523810,18.171428571428570,323,307.6190476190476,ANDHRA PRADESH,2023,6,188451
2023-05-01,2023-05-26,8icvx,739354705757,739354705757_1,rto,2023-05-27,AFLOAT,Gujarat,383315,Andhra Pradesh,533001,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,533006,Andhra Pradesh,274,0.000000000000000000,0.00000000000000,62,0,1,0.0,2023-06-03,1.050000,59.0476190476190,10.628571428571428,274,260.9523809523810,ANDHRA PRADESH,2023,6,188451
2023-05-01,2023-05-27,8icvx,200915229326,200915229326_1,rto,2023-05-27,AFLOAT,Gujarat,383315,Tamil Nadu,631201,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,631209,Tamil Nadu,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-04,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-10,8icvx,571002468494,571002468494_1,rto,2023-06-11,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,540710,15.38000000000000,5.00,624208,Tamil Nadu,323,0.000000000000000000,0.00000000000000,104,0,1,0.0,2023-06-24,1.050000,99.0476190476190,17.828571428571426,323,307.6190476190476,TAMIL NADU,2023,6,188451
2023-05-01,2023-05-24,8icvx,668572084584,668572084584_1,rto,2023-05-24,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,523001,Andhra Pradesh,218,0.000000000000000000,0.00000000000000,0,65,1,0.0,2023-06-02,1.050000,61.9047619047619,11.142857142857142,283,269.5238095238095,ANDHRA PRADESH,2023,6,188451
2023-05-01,2023-05-30,8icvx,182514030612,182514030612_1,rto,2023-05-30,AFLOAT,Gujarat,383315,Assam,null,24ABVFA4063H1ZA,540704,15.10000000000000,5.00,788727,Assam,317,0.000000000000000000,0.00000000000000,77,0,1,0.0,2023-06-09,1.050000,73.3333333333333,13.200000000000000,317,301.9047619047619,ASSAM,2023,6,188451
2023-06-01,2023-06-12,8icvx,510084817799,510084817799_1,rto,2023-06-12,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,500720,14.24000000000000,5.00,518553,Andhra Pradesh,299,0.000000000000000000,0.00000000000000,64,0,1,0.0,2023-06-23,1.050000,60.9523809523810,10.971428571428570,299,284.7619047619048,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-05,8icvx,762435508440,762435508440_1,rto,2023-06-05,AFLOAT,Gujarat,383315,Telangana,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,500094,Telangana,219,0.000000000000000000,0.00000000000000,0,85,1,0.0,2023-06-08,1.050000,80.9523809523810,14.571428571428570,304,289.5238095238095,TELANGANA,2023,6,188451
2023-06-01,2023-06-18,8icvx,472296245655,472296245655_1,rto,2023-06-18,AFLOAT,Gujarat,383315,Madhya Pradesh,null,24ABVFA4063H1ZA,540710,15.62000000000000,5.00,452007,Madhya Pradesh,328,0.000000000000000000,0.00000000000000,112,0,1,0.0,2023-06-30,1.050000,106.6666666666667,19.200000000000000,328,312.3809523809524,MADHYA PRADESH,2023,6,188451
2023-06-01,2023-06-01,8icvx,778504008921,778504008921_1,rto,2023-06-01,AFLOAT,Gujarat,383315,Tripura,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,799211,Tripura,219,0.000000000000000000,0.00000000000000,0,72,1,0.0,2023-06-13,1.050000,68.5714285714286,12.342857142857142,291,277.1428571428571,TRIPURA,2023,6,188451
null,2023-06-10,8icvx,106579617189,106579617189_1,Cancelled,2023-06-10,AFLOAT,Gujarat,383315,Telangana,null,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,501510,Telangana,273,0.000000000000000000,0.00000000000000,62,0,1,null,2023-06-12,1.050000,59.0476190476190,10.628571428571428,273,260.0000000000000,TELANGANA,2023,6,188451
2023-06-01,2023-06-03,8icvx,802424446071,802424446071_1,rto,2023-06-03,AFLOAT,Gujarat,383315,West Bengal,735202,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,735202,West Bengal,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-09,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,WEST BENGAL,2023,6,188451
2023-05-01,2023-05-26,8icvx,244387146204,244387146204_1,rto,2023-05-26,AFLOAT,Gujarat,383315,Bihar,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,841208,Bihar,219,0.000000000000000000,0.00000000000000,0,72,1,0.0,2023-06-01,1.050000,68.5714285714286,12.342857142857142,291,277.1428571428571,BIHAR,2023,6,188451
2023-06-01,2023-06-06,8icvx,573991072948,573991072948_1,rto,2023-06-06,AFLOAT,Gujarat,383315,Telangana,null,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,503301,Telangana,293,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-12,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,TELANGANA,2023,6,188451
